TDB企業コード,企業名,所在地,TDB産業大分類,決算期年,決算期月,従業員数,資産合計,流動資産,当座資産,現金.預金,売掛金,棚卸資産,その他流動資産,固定資産,有形固定資産,負債純資産合計,負債合計,流動負債,支払手形,短期借入金,長期借入金,純資産合計,株主資本,利益剰余金,営業収益,営業費用,売上原価,売上総利益,販売費及び一般管理費,役員報酬,給料手当,役員賞与,賞与,減価償却費,営業利益,営業外費用,経常利益,税引前当期純利益,当期純利益,ops
580025432,タキロン　株式会社,27127_大阪府大阪市北区,F_製造業,2012,3,648,65506000,38074000,21764000,5601000,9532000,6614000,9805000,27431000,13193000,65506000,28359000,17027000,589000,600000,1500000,37146000,36855000,9010000,39383000,36704000,26260000,13123000,10444000,NA,1925000,NA,NA,415000,2679000,404000,2825000,2749000,1058000,6.8024274433131
580349898,住友精化　株式会社,27128_大阪府大阪市中央区,F_製造業,2012,3,873,66962000,25892000,16407000,967000,15433000,7529000,1986000,41070000,23702000,66962000,35169000,20828000,NA,7400000,12504000,31793000,31672000,14690000,49383000,47140000,37603000,11779000,9537000,248000,1740000,NA,NA,520000,2241000,303000,3410000,2474000,1923000,4.53809080231663
580174906,株式会社　日伝,27128_大阪府大阪市中央区,G_卸・小売業，飲食店,2012,3,702,67132000,49784000,44626000,24431000,10574000,4560000,615000,17347000,9312000,67132000,13329000,10263000,1058000,NA,NA,53803000,52983000,40892000,84687000,80708000,72456000,12230000,8252000,NA,3541000,NA,NA,551000,3978000,348000,4129000,4087000,2262000,4.6973525730345
580000326,住友電設　株式会社,27106_大阪府大阪市西区,E_建設業,2012,3,1210,72676000,51470000,46132000,12309000,NA,2472000,2890000,21205000,9050000,72676000,43071000,37939000,5658000,1495000,1188000,29604000,28027000,15568000,91135000,87217000,82656000,8479000,4561000,NA,1571000,NA,NA,437000,3917000,214000,4408000,4618000,2790000,4.29801942173698
580326525,エスケー化研　株式会社,27211_大阪府茨木市,F_製造業,2012,3,1113,75866000,56709000,50564000,31949000,10913000,4870000,1299000,19156000,10721000,75866000,17895000,16007000,1299000,2050000,NA,57970000,57971000,56540000,70287000,60916000,49504000,20783000,11412000,NA,3570000,NA,NA,71000,9370000,109000,9581000,9581000,5463000,13.3310569522102
570009570,堺化学工業　株式会社,27141_大阪府堺市堺区,F_製造業,2012,3,749,76049000,30901000,18640000,3930000,12880000,10802000,1607000,45148000,23231000,76049000,22539000,16537000,NA,7508000,2496000,53510000,52737000,12849000,38880000,37172000,31708000,7172000,5464000,NA,1524000,NA,NA,436000,1707000,450000,2192000,1879000,831000,4.39043209876543
580118219,朝日放送　株式会社,27103_大阪府大阪市福島区,L_サービス業,2012,3,641,76757000,29478000,25995000,5315000,11571000,988000,2490000,47279000,28799000,76757000,26747000,12017000,NA,NA,NA,50010000,49362000,40953000,64390000,61398000,40805000,23585000,20593000,NA,3981000,NA,NA,339000,2991000,209000,3081000,1244000,-49000,4.6451312315577
580021818,サカタインクス　株式会社,27106_大阪府大阪市西区,F_製造業,2012,3,794,77296000,32774000,28154000,2568000,15478000,3592000,1222000,44522000,11587000,77296000,36758000,29007000,1513000,1200000,4550000,40538000,39753000,27344000,65942000,63287000,51782000,14159000,11505000,299000,2317000,NA,529000,335000,2654000,266000,3717000,3696000,2248000,4.02481005747562
580305267,東和薬品　株式会社,27223_大阪府門真市,F_製造業,2012,3,1468,79085000,40785000,21639000,3879000,7170000,17089000,2175000,38300000,33650000,79085000,29200000,18949000,1042000,NA,9192000,49885000,49908000,37958000,47225000,38200000,21072000,26153000,17128000,103000,5659000,NA,NA,365000,9025000,113000,9768000,9662000,5696000,19.1106405505558
580317778,積水樹脂　株式会社,27127_大阪府大阪市北区,F_製造業,2012,3,312,83428000,51974000,45221000,19644000,14454000,4066000,2695000,31453000,11654000,83428000,27740000,24632000,5514000,NA,NA,55687000,55480000,31877000,49830000,43245000,34929000,14901000,8316000,127000,1314000,NA,153000,55000,6585000,425000,7115000,7053000,4052000,13.2149307645996
